Belge,100,aday,alabilir,ara,asimetri,askılı,astar,açık,basic,baskılı,bej,bel,beyaz,biri,bisiklet,bluz,ceket,cepli,dantel,dar,deri,detaylı,doku,düğmeli,edilerek,el,elbis,esnek,etek,etkileyici,favori,fermuarlı,fit,gardırobunuz,gardıropt,gereken,gri,gömlek,görünüm,görünümlü,günlük,hırk,içeriğiyl,kalem,kalıp,kapitoneli,kapüşonlu,kesim,klasik,kolay,kollu,komb,konfor,kot,kruvaz,kullanım,kumaş,kumaştan,kumaşı,kırmızı,lacivert,lastikli,lemmatize,likralı,mavi,mini,model,modeli,mor,nefes,ofisten,olan,olma,olması,olup,omuz,omzu,ortam,oversiz,pamuk,pantolon,parçaların,paç,pemb,pileli,polyester,rahat,renkleriyl,sa,saten,sayesin,sağ,sezo,siyah,slim,sokağ,sunar,sweatshirt,sırt,tasarım,tercih,trend,tshirt,uyg,uyum,uz,v,vazgeçilmezi,viskon,volanlı,yak,yapabilirsiniz,yapı,yapısıyl,yeni,yeşil,yumuşak,yüksek,çant,çantası,çift,çıkan,ön,örgü,örm,özel,özellik,üretilen,üretilmiş,ütülenir,şık,şıklık
Belge_2159,0.0,0.0,0.1277,0.0,0.0,0.0,0.1402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.0,0.0,0.0,0.1092,0.0,0.0,0.0,0.0,0.0,0.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.0,0.0,0.0,0.0,0.0,0.0,0.1397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995,0.1277,0.0782,0.0,0.0,0.0,0.0,0.0,0.0,0.0782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782,0.0,0.0,0.0,0.0782,0.0,0.0,0.0,0.0531,0.0,0.0,0.0,0.0,0.0782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278,0.0779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0303,0.0,0.0914,0.0779,0.0303,0.0,0.0,0.1243,0.0,0.0
Belge_2160,0.0,0.0,0.0,0.1079,0.0,0.1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1694,0.0,0.0,0.0,0.0,0.0,0.0,0.1097,0.0,0.4181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1079,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.1267,0.0,0.0,0.0,0.0,0.1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1461,0.1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766,0.0417,0.0417,0.0,0.0,0.0,0.0417,0.1097,0.0,0.0,0.176,0.1079
Belge_2161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1237,0.0,0.0,0.0,0.3846,0.1564,0.0,0.0,0.1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013,0.0,0.0,0.1588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013,0.0,0.0,0.0,0.0,0.0783,0.0,0.0,0.0,0.0,0.0,0.0,0.2022,0.0,0.1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013,0.0,0.0988,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0385,0.0385,0.0,0.0,0.0988,0.0385,0.0,0.0,0.0,0.1625,0.0
Belge_2162,0.084,0.0,0.117,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1078,0.0,0.0,0.0,0.1172,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.072,0.0,0.0,0.0,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1156,0.0,0.0,0.117,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007,0.0,0.1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0278,0.0,0.0,0.0,0.0278,0.0,0.0,0.114,0.0,0.072
Belge_2163,0.0,0.0735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.0,0.0,0.1194,0.0,0.0,0.0,0.1209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2819,0.0,0.0,0.0,0.0,0.0,0.1179,0.0,0.0,0.0886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002,0.0752,0.0,0.0,0.1194,0.0,0.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0923,0.118,0.1325,0.0,0.0,0.0,0.0286,0.0286,0.0,0.0,0.0,0.0286,0.0752,0.0,0.0,0.1207,0.0
Belge_2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1154,0.3397,0.0,0.0,0.1441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614,0.0908,0.0,0.0,0.0,0.1441,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0908,0.0,0.0,0.0,0.0,0.0702,0.0,0.0,0.0,0.0,0.0,0.0,0.0604,0.0,0.0908,0.0,0.1441,0.0,0.1234,0.0,0.0,0.0,0.0,0.0,0.0908,0.1455,0.0886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0345,0.0,0.0,0.0886,0.0345,0.0,0.0,0.0,0.0,0.0
Belge_2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1652,0.0776,0.0,0.0,0.0,0.0,0.0,0.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.1216,0.0,0.0,0.0,0.0,0.1313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1068,0.0,0.0,0.2103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1028,0.0,0.0,0.1652,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.1028,0.04,0.0,0.0,0.0,0.169,0.0
Belge_2166,0.0,0.0804,0.1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952,0.0,0.129,0.0,0.0,0.1398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804,0.0,0.0,0.1045,0.0,0.0,0.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1317,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.0803,0.0,0.0,0.129,0.0,0.3029,0.1098,0.0,0.0313,0.0313,0.0,0.0,0.0803,0.0313,0.0,0.0,0.1282,0.0,0.0
Belge_2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974,0.0,0.0,0.0,0.0,0.0,0.0,0.1162,0.0,0.1325,0.0871,0.0,0.0,0.0,0.0,0.0,0.0,0.1205,0.0,0.0763,0.0,0.0,0.0,0.0,0.0761,0.0761,0.0,0.0,0.0763,0.0871,0.0,0.0,0.0761,0.0,0.0,0.0,0.0,0.0,0.0,0.1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0761,0.0,0.0,0.0,0.0,0.0,0.0,0.2819,0.0,0.1325,0.0,0.0,0.0,0.0,0.0,0.0763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763,0.0,0.0,0.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211,0.0286,0.0286,0.0,0.0,0.0,0.0286,0.0,0.0,0.1172,0.1207,0.0
Belge_2168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437,0.0,0.0,0.0,0.1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0987,0.0987,0.0,0.0,0.0,0.0,0.0,0.0,0.0987,0.0,0.0,0.0,0.0,0.1532,0.0,0.0,0.0,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1541,0.0,0.0,0.0,0.0,0.0,0.0,0.0987,0.0,0.0,0.0,0.0,0.0,0.0,0.3655,0.0,0.0,0.0,0.0,0.0,0.0764,0.0976,0.0,0.1149,0.0,0.0,0.0754,0.1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0976,0.1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.037,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0
